open_time,open,high,low,close,volume,status
1667224800000,20315.4,20448.6,20225.4,20390.4,101608.12,0
1667232000000,20390.5,20523.5,20318.5,20363.3,49436.37,0
1667239200000,20363.3,20460.0,20346.1,20358.8,21983.998,0
1667246400000,20358.8,20431.9,20343.6,20397.1,12995.541,0
1667253600000,20397.2,20514.1,20365.4,20482.0,20548.826,0
1667260800000,20482.1,20548.5,20429.6,20502.0,20366.808,0
1667268000000,20502.0,20578.0,20464.6,20471.3,21030.647,0
1667275200000,20471.3,20543.0,20455.8,20519.0,15799.614,0
1667282400000,20519.0,20649.0,20514.5,20590.2,32287.386,0
1667289600000,20590.2,20687.0,20535.3,20583.8,30036.268,0
1667296800000,20584.0,20643.5,20477.5,20511.7,33066.497,0
1667304000000,20511.8,20558.4,20342.1,20411.3,46116.413,0
1667311200000,20411.2,20475.1,20320.0,20435.6,53394.833,0
1667318400000,20435.6,20511.0,20366.8,20431.8,27684.129,0
1667325600000,20431.7,20492.9,20400.0,20438.6,15143.056,0
1667332800000,20438.6,20483.8,20419.4,20443.0,9077.616,0
1667340000000,20442.9,20494.4,20423.8,20472.1,10672.92,0
1667347200000,20472.1,20532.2,20400.0,20496.1,22058.362,0
1667354400000,20496.1,20549.9,20448.3,20511.0,13348.767,0
1667361600000,20511.0,20550.0,20463.3,20475.0,16936.451,0
1667368800000,20474.9,20482.0,20343.4,20414.2,32904.977,0
1667376000000,20414.2,20529.9,20400.4,20454.9,25235.105,0
1667383200000,20454.9,20458.9,20323.0,20423.0,34774.514,0
1667390400000,20423.0,20436.6,20352.3,20389.7,28816.569,0
1667397600000,20389.7,20450.0,20386.8,20400.2,16878.356,0
1667404800000,20400.2,20542.2,20350.0,20431.2,50703.061,0
1667412000000,20431.2,20796.0,20100.0,20241.1,326272.517,0
1667419200000,20241.2,20273.6,20050.0,20142.0,57429.924,0
1667426400000,20141.9,20161.2,20051.0,20140.1,26177.158,0
1667433600000,20140.2,20334.0,20111.0,20294.3,33506.323,0
1667440800000,20294.4,20332.0,20267.7,20299.4,21877.105,0
1667448000000,20299.3,20400.0,20299.3,20366.6,28694.619,0
1667455200000,20366.6,20373.7,20270.8,20293.8,23264.335,0
1667462400000,20293.7,20327.0,20240.1,20309.8,22943.049,0
1667469600000,20309.9,20329.9,20038.6,20124.3,48272.484,0
1667476800000,20124.3,20210.6,20026.0,20096.7,62583.978,0
1667484000000,20096.6,20327.6,20077.2,20241.0,65904.805,0
1667491200000,20241.1,20304.8,20212.1,20218.4,19790.073,0
1667498400000,20218.4,20268.0,20169.2,20253.7,14580.076,0
1667505600000,20253.6,20258.0,20208.7,20248.5,9270.022,0
1667512800000,20248.5,20260.7,20149.2,20199.7,21434.192,0
1667520000000,20199.8,20307.0,20171.6,20276.7,21511.439,0
1667527200000,20276.7,20316.0,20263.4,20309.2,13899.371,0
1667534400000,20309.3,20477.3,20296.0,20431.9,34948.975,0
1667541600000,20431.8,20677.0,20431.8,20603.3,72000.332,0
1667548800000,20603.3,20645.0,20555.0,20557.8,30399.995,0
1667556000000,20557.9,20665.0,20533.2,20547.0,30334.006,0
1667563200000,20547.1,20878.3,20350.0,20749.8,188525.492,0
1667570400000,20749.9,21297.0,20732.8,20829.3,197772.195,0
1667577600000,20829.2,20889.8,20660.0,20762.7,108337.196,0
1667584800000,20762.7,21100.0,20705.0,21097.3,69192.549,0
1667592000000,21097.2,21199.9,21040.6,21161.4,35735.89,0
1667599200000,21161.3,21200.0,21122.1,21137.6,21857.775,0
1667606400000,21137.6,21450.0,21071.1,21351.9,63388.851,1
1667613600000,21351.8,21473.7,21333.5,21436.5,29832.467,1
1667620800000,21436.4,21455.7,21352.6,21382.1,20873.18,1
1667628000000,21382.1,21434.5,21365.9,21374.4,14686.521,1
1667635200000,21374.4,21379.7,21226.8,21281.1,36662.705,1
1667642400000,21281.0,21426.0,21275.0,21395.5,27599.414,1
1667649600000,21395.5,21412.0,21240.0,21261.7,28004.602,1
1667656800000,21261.7,21346.2,21202.8,21289.7,29244.755,1
1667664000000,21289.7,21339.0,21260.3,21310.6,14844.517,1
1667671200000,21310.6,21333.3,21250.1,21321.5,14556.282,1
1667678400000,21321.6,21373.1,21312.0,21325.0,9898.467,1
1667685600000,21325.0,21338.9,21227.0,21289.9,14391.611,1
1667692800000,21289.8,21355.8,21162.2,21184.6,25011.863,1
1667700000000,21184.6,21267.4,21175.0,21226.9,15687.302,1
1667707200000,21226.9,21243.2,21133.8,21145.3,15495.078,1
1667714400000,21145.3,21197.9,21137.0,21185.3,14307.143,1
1667721600000,21185.2,21301.0,21168.3,21230.2,26408.897,1
1667728800000,21230.2,21271.0,21166.1,21247.1,16242.277,1
